grammar_point;meaning;level;lesson_number;lesson_title;bunpro_url;structure;part_of_speech;word_type;register;about;cautions;example_jp_1;example_en_1;synonyms;antonyms;related;meaning_hint;jp_hint
場合（ばあい）は;In the event of, In the case of;N4;6;て the Day Away;https://bunpro.jp/grammar_points/%E3%81%B0%E3%81%82%E3%81%84%E3%81%AF;Verb + 場合（ばあい）(は) | ［い］Adjective + 場合（ばあい）(は) | ［な］Adjective + な + 場合（ばあい）(は) | Noun + の + 場合（ばあい）(は);;;Standard;場合（ばあい）は is a phrase in Japanese that is often translated to 'in the event of (A)', or 'in the case of (A)'. It can be used with almost any type of word, but will require な when following a な-Adjective, or の when following a noun.;In relation to a situation, because 場合（ばあい） means 'to encounter (A)', it has a nuance of randomness. Due to this, 場合（ばあい）は will not be used to describe events that regularly occur, or events that can be planned/controlled.;オートバイに乗（の）る場合（ばあい）はヘルメットをかぶってください。;In the event that you will ride a motorbike, please wear a helmet.;;;なら | に取って | としたら・とすれば・とすると | 万が一 | と;;
～て (Casual Request);Please do for me (Casual request);N4;6;て the Day Away;https://bunpro.jp/grammar_points/verb%E3%81%A6-request;Verb［て］。;;;Standard;In casual speech, てください is often shortened to て. This usually comes across as being a friendly way to say 'please do (A)', but may sound like a very soft order, so is best used with friends/toward people of lower status.;Sometimes, other forms of て may appear at the end of a sentence. This happens most often when the speaker has not actually finished speaking, but is thinking about what they want to say next. In these cases, the pronunciation of て will usually be extended (to highlight that the person is thinking). | When emphasizing an apology, て may also be used. For this nuance to be conveyed, て will be attached to the 'reason' that the person is apologizing, and may be either positive or negative.;ペン貸（か）して。;Can you please lend me a pen?;命令形;;てください;;
～てよかった;I'm glad that;N4;6;て the Day Away;https://bunpro.jp/grammar_points/%E3%81%A6%E3%82%88%E3%81%8B%E3%81%A3%E3%81%9F;Verb［て］+ よかった | ［い］Adjective［て］ + よかった | ［な］Adjective + で + よかった | Noun + で + よかった |  |  | Verb［なくて］(*) + よかった | Verb［ないで］(**) + よかった | ［い］Adjective［なくて］ + よかった | ［な］Adjective＋でなくて + で + よかった | Noun＋でなくて + よかった |  | (*) Mostly found in literary/written language | (**) Mostly found in spoken language | Verb［て］+ よかった + です | ［い］Adjective［て］ + よかった + です | ［な］Adjective + で + よかった + です | Noun + で + よかった + です |  |  | Verb［なくて］(*) + よかった + です | Verb［ないで］(**) + よかった + です | ［い］Adjective［なくて］ + よかった + です | ［な］Adjective＋でなくて + で + よかった + です | Noun＋でなくて + よかった + です |  | (*) Mostly found in literary/written language | (**) Mostly found in spoken language;;;Standard;When て (or で when following ない) is paired with the past form of the い-Adjective, いい, てよかった, なくてよかった, or ないでよかった will have the meaning of 'I'm glad that (A)' (when positive), or 'I'm glad that I didn't (A)' (when negative).;;先輩（せんぱい）、今日（きょう）の会議（かいぎ）で余計（よけい）なことを言（い）わなくて良（よ）かったですね。;Senpai, aren't you glad that you didn't say anything more at the meeting today? (A bit more formal, focuses on expressing reasons or results);;;ばよかった;;
せる・させる (Causative);To make/let/have (somebody do something);N4;6;て the Day Away;https://bunpro.jp/grammar_points/causative;Examples: | ［る1］Verb ￫ 見（み）る + させる | ［る5］Verb ￫ 座（すわ）る + らせる | ［う］Verb ￫ 歌（うた）う + わせる | ［く］Verb ￫ 歩（ある）く + かせる | ［す］Verb ￫ 話（はな）す + させる | ［つ］Verb ￫ 打（う）つ + たせる | ［ぬ］Verb ￫ 死（し）ぬ + なせる | ［ぶ］Verb ￫ 飛（と）ぶ + ばせる | ［む］Verb ￫ 休（やす）む + ませる | ［ぐ］Verb ￫ 泳（およ）ぐ + がせる |  | Exceptions: | する→させる | くる→ こさせる | Examples: | ［る1］Verb ￫ 見（み）る + させます | ［る5］Verb ￫ 座（すわ）る + らせます | ［う］Verb ￫ 歌（うた）う + わせます | ［く］Verb ￫ 歩（ある）く + かせます | ［す］Verb ￫ 話（はな）す + させます | ［つ］Verb ￫ 打（う）つ + たせます | ［ぬ］Verb ￫ 死（し）ぬ + なせます | ［ぶ］Verb ￫ 飛（と）ぶ + ばせます | ［む］Verb ￫ 休（やす）む + ませます | ［ぐ］Verb ￫ 泳（およ）ぐ + がせます |  | Exceptions: | する→させます | くる→ こさせます;;;Standard;In order to express that someone was 'made to do', or 'let do' something, the auxiliary verbs せる and させる will be used. The meaning that せる and させる will convey (when attached to a verb) is called 使役（しえき） (causative, employment, or using) in Japanese.;either に or を can mark the doer | With causative, either に, or を can mark the doer of the action that せる, or させる is linked to (not が). This is because the actual 'doer' of the action is considered to be the person that is making/letting someone perform that action. に will usually imply that someone was 'let' do something, while を implies 'make'.;友達（ともだち）が私（わたし）の携帯（けいたい）を壊（こわ）したので、新（あたら）しいのを買（か）わせます。;Since my friend broke my phone, I will make them buy me a new one.;;;Verb［れる・られる］ | 他動詞・自動詞 | Causative-Passive;;
と言（い）ってもいい;You could say, You might say;N4;6;て the Day Away;https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%84%E3%81%A3%E3%81%A6%E3%82%82%E3%81%84%E3%81%84;Verb + といってもいい | ［い］Adjective + といってもいい | ［な］Adjective + （だ） + といってもいい | Noun + （だ） + といってもいい;;;Standard;と言（い）ってもいい is a common expression in Japanese which literally means 'even if you say (A), it is good/ok'. This is translated more naturally as 'you could say (A)', or 'you might say (A)'.;;彼女（かのじょ）はすごい優（やさ）しい人（ひと）だと言（い）ってもいいでしょう。;It is safe to say that she is a very nice person.;;;と | と言える | Verb + てもいい | ないでもない | って;;
～ても・でも;Even if, Even though;N4;6;て the Day Away;https://bunpro.jp/grammar_points/%E3%81%A6%E3%82%82;Verb［て］＋も | ［い］Adjective［て］＋も | ［な］Adjective＋で＋も | Noun＋で＋も |  |  | Verb［なくて］＋も | ［い］Adjective［なくて］＋も | ［な］Adjective＋でなくて(1)＋も | Noun＋でなくて(1)＋も |  | (1) じゃなくて;;;Standard;The combination of the conjunction particle て (or the case-marking particle で), with the adverbial particle も, often has the nuance of 'even if (A)', or 'even though (A)'.;;彼女（かのじょ）は仕事（しごと）が大変（たいへん）でも諦（あきら）めません。;She will not give up on work even if it is difficult.;;;てもいい | でも | にせよ・にしろ | たって | たとえ〜ても | にしたところで | もし | ようが～まいが | さえ | もしも～なら・もしも～でも | としても | にしても | Verb + てもいい;;
～てしまう;To do something by accident, To finish completely・totally, Unfortunately;N4;6;て the Day Away;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%97%E3%81%BE%E3%81%86-%E3%81%A1%E3%82%83%E3%81%86;Verb［て］+ しまう | Verb［て］ + ちゃう(1) |  | (1) じゃう(*) |  | (*) Used when Verb［て］ends with で | Verb［て］+ しまいます | Verb［て］ + ちゃいます(1) |  | (1) じゃいます(*) |  | (*) Used when Verb［て］ends with で;;;Standard;By combining the conjunction particle て, with the verb しまう (sometimes written as 終（しま）う), you are able to express that something was done 'by accident', 'completely', or 'unfortunately'. These meanings may seem quite different, but we will discuss their similarities in a moment. Let's look at a few examples of てしまう first.;;傘（かさ）を忘（わす）れてしまった。;I unfortunately forgot my umbrella. (I totally forgot my umbrella);;はじめる | 切れない;てすみません | おわる | 切る | つい | 上がる・上げる;;
～て (Reasons and Causes);And・and so, Due to, Because of, Since, Conjunctive;N4;6;て the Day Away;https://bunpro.jp/grammar_points/verb%E3%81%A6-b2;Verb［て］+ Phrase | ［い］Adjective［て］+ Phrase | ［な］Adjective + で + Phrase | Noun + で + Phrase |  | Exceptions: | いい ￫ よくて + B;;;Standard;One of the functions that the conjunction particle て performs in Japanese is very similar to 'since', or 'due to', in English. Phrases that use this particular (A) て (B) nuance of the て-form primarily express something that is beyond the control of the speaker in the (B) statement.;Notice that Verb[て] + すみません uses this version of て;今日（きょう）は宿題（しゅくだい）が多（おお）くて行（い）けなかった。;I couldn't go today because I had a lot of homework.;;;なくて | Adjective + て・Noun + で | し～し ;;
させられる (Causative-Passive);Verbs (Causative-passive voice), To be made to do something, To be forced to do;N4;6;て the Day Away;https://bunpro.jp/grammar_points/causative-passive;Examples: | ［る1］Verb ￫ 見（み）る + させられる | ［す］Verb ￫ 話（はな）す + させられる |  | ［る5］Verb ￫ 座（すわ）る + らせられる | 座（すわ）る + らされる |  | ［う］Verb ￫ 歌（うた）う + わせられる | 歌（うた）う + 歌（うた）わされる |  | ［く］Verb ￫ 歩（ある）く + かせられる | 歩（ある）く + 歩（ある）かされる |  | ［つ］Verb ￫ 打（う）つ + たせられる | 打（う）つ + 打（う）たされる |  | ［ぬ］Verb ￫ 死（し）ぬ + なせられる | 死（し）ぬ + 死（し）なされる |  | ［ぶ］Verb ￫ 飛（と）ぶ + ばせられる | 飛（と）ぶ + 飛（と）ばされる |  | ［む］Verb ￫ 休（やす）む + ませられる | 休（やす）む + 休（やす）まされる |  | ［ぐ］Verb ￫ 泳（およ）ぐ + がせられる | 泳（およ）ぐ + 泳（およ）がされる |  | Exceptions: | する ￫ させられる | くる ￫ こさせられる | Examples: | ［る1］Verb ￫ 見（み）る + させられます | ［す］Verb ￫ 話（はな）す + させられます |  | ［る5］Verb ￫ 座（すわ）る + らせられます | 座（すわ）る + らされます |  | ［う］Verb ￫ 歌（うた）う + わせられます | 歌（うた）う + 歌（うた）わされます |  | ［く］Verb ￫ 歩（ある）く + かせられます | 歩（ある）く + 歩（ある）かされます |  | ［つ］Verb ￫ 打（う）つ + たせられます | 打（う）つ + 打（う）たされます |  | ［ぬ］Verb ￫ 死（し）ぬ + なせられます | 死（し）ぬ + 死（し）なされます |  | ［ぶ］Verb ￫ 飛（と）ぶ + ばせられます | 飛（と）ぶ + 飛（と）ばされます |  | ［む］Verb ￫ 休（やす）む + ませられます | 休（やす）む + 休（やす）まされます |  | ［ぐ］Verb ￫ 泳（およ）ぐ + がせられます | 泳（およ）ぐ + 泳（およ）がされます |  | Exceptions: | する ￫ させられます | くる ￫ こさせられます;;;Standard;When the auxiliary verb せる (or させる) 'to make/let do' is combined with the auxiliary verb られる 'to be the receiver of', it creates the causative-passive form of verbs in Japanese. These sentences will be from the perspective of the person who has 'been made to do' something, and are very often negative (against the will of the speaker).;Unlike with causative verbs, where the actual doer of a sentence (marked with が) is considered to be the person who 'caused' the action, られる reverses the perspective. This makes the doer (marked with が) the person who is being 'forced' to do something. When the person that is 'causing' the action appears in a causative-passive sentence, they will be marked with に. | れる may not be used in place of られる in causative-passive sentences. This is because せる and させる both have せ (an え sound kana) at the point where they will connect with られる. This is a rule for all verbs with an え sound kana at their conjugation point (excluding the 'potential' use of れる and られる).;おばあちゃんの家（いえ）に行（い）くとお腹（なか）がいっぱいでもいっぱい食（た）べさせられる。;When I go to my grandma's house, she makes me eat a lot, even if I am full.;;;Verb［れる・られる］ | Verb［せる・させる］;;
～て (Means and Manner);By, With, On, By means of, ~ing with;N4;6;て the Day Away;https://bunpro.jp/grammar_points/verb-%E3%81%A6-noun-%E3%81%A7-b;Verb［て］+ Phrase | Noun + で + Phrase;;;Standard;The conjunction particle て, or the case marking particle で are often used to highlight when something is being 'used'. The thing being used does not necessarily need to indicate a tool, but can also indicate a circumstance/situation. In these cases, '(A) で (B)' translates as 'with/by means of (A), (B)'.;;毎日（まいにち）泳（およ）いでトレーニングをしています。;I train by swimming every day.;;;で;;
～てある;Something is done, Has been done, Remaining state;N4;6;て the Day Away;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%82%E3%82%8B;(Transitive) Verb［て］+ ある | (Transitive) Verb［て］+ あります;;;Standard;Like 'verb + ている', 'verb + てある' is a structure that will convey an ongoing state. However, てある may only be used with transitive verbs, and highlights the object itself as being the subject of the sentence (rather than the initial person/thing that performed the action).;Only used with transitive verbs!;あなたの弁当（べんとう）は机（つくえ）の上（うえ）に置（お）いてあるよ。;I have left your lunch on the desk. (Literally 'your lunch is in the state of having been left on the desk');;;まま(に) | ておく | っぱなし;;
様（よう）に～て欲（ほ）しい;Want ~ to ~ like ~, Want ~ to be able to ~, Want ~ to ~ in the way of ~;N4;6;て the Day Away;https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%AB-%E3%81%A6%E3%81%BB%E3%81%97%E3%81%84;Verb + ように + Verb［て］ + ほしい | Noun + のように + Verb［て］ + ほしい | Verb + ように + Verb［て］ + ほしい + です | Noun + のように + Verb［て］ + ほしい + です;;;Standard;(A) ように～てほしい is an expression in Japanese which combines the auxiliary verb, ようだ, with the てほしい structure (indicating that you/someone else wants someone to do something). As ようだ is being linked to a verb which comes later in the sentence, it will take on the adverbial form ように.;;お前（まえ）にはスポーツ選手（せんしゅ）のように走（はし）ってほしい。;I want you to run like an athlete.;;;てほしい | がほしい | ように・ような | ように | ようにする | ようにいう;;
～ている間（あいだ）に;While, During the time that ~;N4;6;て the Day Away;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B%E3%81%82%E3%81%84%E3%81%A0%E3%81%AB;Verb［ている］+ 間（あいだ）に;;;Standard;When (A) ている is paired with 間（あいだ）に (B), it expresses that '(B) is happening/happened within the timeframe of (A)'. These events do not need to be related in any specific way, but the (B) action must happen somewhere within the duration of (A). This construction translates naturally as 'during the time that (A), (B)'.;;荷物（にもつ）を運（はこ）んでいる間（あいだ）に転（ころ）んで怪我（けが）をした。;I tripped and hurt myself when I was carrying luggage.;;;つつある | の間に | 中 | とき | ているところだ | ながら | うちに | ついでに | ている① | ～ところに・～ところへ;;
なくてもいい;Don't have to;N4;6;て the Day Away;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%8F%E3%81%A6%E3%82%82%E3%81%84%E3%81%84;Verb［なくて］ + （も） + いい | Verb［なくて］ + （も） + いい + です;;;Standard;なくてもいい is simply the opposite of てもいい, and highlights that it is 'ok even if (A) is not done'. This usually comes across as being quite polite, and sounds like 'don't worry about doing (A)' in English.;も can be dropped in casual speech;忙（いそが）しいなら、行（い）かなくてもいいです。;If you are busy, you do not have to go.;;なくてはいけない;てはならない | ことはない | てはいけない;;
～てみる;To try to;N4;6;て the Day Away;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%BF%E3%82%8B;Verb［て］+ みる | Verb［て］+ みます;;;Standard;In order to express that you will (or someone else should) try something, the conjunction particle て will be paired with 見（み）る (almost always without kanji). While this is translated as 'to try to (A)', the actual meaning is closer to 'to do (A), and see (whether the result is good or not)'.;When てみた appears in the past tense, it will imply that the attempt was successful, unless specifically stated otherwise by the speaker.;本当（ほんとう）においしいの？今度（こんど）食（た）べてみるよ！;Is it really delicious? Next time I'll try it!;;;てごらん | ようにする | Verb[volitional]とする | 〜ようと思う・〜おうと思う;;
～てすみません;I'm sorry for;N4;6;て the Day Away;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%99%E3%81%BF%E3%81%BE%E3%81%9B%E3%82%93;Verb［て］+ すみません;;;Polite;てすみません is a grammar construction that expresses the speaker's regret about (A). It is often translated directly to 'I'm sorry for (A)'. As discussed in one of our previous lessons on て, we examined the 'since', or 'due to' meaning that it can have. Let's look at a few examples.;;あなたのケーキを食（た）べてすみません。;I'm sorry for eating your cake.;;てくれてありがとう;てしまう・ちゃう;;
～てあげる;To do something for someone, As a favor for;N4;7;Let's Get Polite;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%82%E3%81%92%E3%82%8B;Verb［て］+ あげる | Verb［て］+ あげます;;;Polite;The receiver of the てあげる action will be marked with に, while the doer will be marked with が (if mentioned).;Might sound patronizing and can be rude especially if used with elderly people! | Unfortunately, てあげる can sound quite patronizing in modern Japanese, and should be avoided in situations where someone may take offence to having something done for them (for example, doing something for someone of higher status). This is primarily due to やる (a casual variation of 'to give') being phased out.;母（はは）に花（はな）を買（か）ってあげた。;I bought flowers (as a favor) for my mother.;;;てもらう | てくれる | あげる;;
～てくれる;To do something for someone (usually you);N4;7;Let's Get Polite;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%8F%E3%82%8C%E3%82%8B;Verb［て］+ くれる | Verb［ないで］+ くれる |  | Politeness Levels | Verb［て］+ くれますか | Verb［ないで］+ くれますか |  | Politeness Levels;;;Polite;The verb 呉（く）れる in Japanese, is very similar to 与（あた）える (to bestow). The primary difference is that 呉（く）れる (primarily written in hiragana) means to 'bestow to the speaker' (or someone in the speaker's inner circle).;Receiver's point of view;パパ、電気（でんき）を消（け）してくれる？;Dad, can you turn the lights off for me?;;ないでください;くれる | てもらう | てくれてありがとう | てあげる | てください | ていただけませんか;;
～てもらう;To get someone to do, To have someone do;N4;7;Let's Get Polite;https://bunpro.jp/grammar_points/%E3%81%A6%E3%82%82%E3%82%89%E3%81%86;Verb［て］+ もらう |  | Politeness Levels | Verb［て］+ もらいます |  | Politeness Levels;;;Polite;Being slightly more direct than てくれる, てもらう removes the meaning of 'to bestow' (to the speaker), and focuses on the meaning of 'to receive' (from the giver). With てもらう, に will mark the person that 'did something' for the subject, while が (or は) will highlight the receiver themselves.;;日本語（にほんご）が話（はな）せないから友達（ともだち）に行（い）き方（かた）を聞（き）いてもらう。;Because I can't speak Japanese, I'm going to have my friend ask for directions on my behalf.;;;てあげる | もらう | てくれる | ていただけませんか;;
なさい;Command to do;N4;7;Let's Get Polite;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%95%E3%81%84;Verb［stem］+ なさい;;;Polite;なさい is the imperative form of なさる, an honorific language verb which specifically highlights and respects the actions of another person (never the speaker).;When casual, can be shortened to just な | Be careful not to get confused between な (the particle), and な (the shortened form of なさい). These can seem very similar, but な (meaning don't) will always be used with the dictionary form of a verb, while な (meaning please do) will always be used with the ます stem of a verb.;勉強（べんきょう）しな。;You should study.;命令形;ないでください | ないで | な;てごらん | お～願う | なさる | てください | お～ください ;;
～て (Non-Sequence);Non-sequence, And, But (Contrast), Parallel action/state;N4;7;Let's Get Polite;https://bunpro.jp/grammar_points/verb%E3%81%A6-b;Verb［て］+ Phrase;;;Standard;One of the common functions that the conjunction particle て has, is that it can contrast things that share some sort of relationship. This is similar to the contrastive use of は. In order to identify this nuance of て, we will need to think about whether the things being described are happening one after the other, or are simply describing '(A), and then (B)'. Let's look at some examples.;;お姉（ねえ）ちゃんは毎晩（まいばん）勉強（べんきょう）をして弟（おとうと）は毎晩（まいばん）ゲームをしている。;My older sister studies every night, and my younger brother plays games.;;;Verb + て+ B;;
ないで (Casual Request);(Please) do not (for me), Casual request;N4;7;Let's Get Polite;https://bunpro.jp/grammar_points/verb-%E3%81%AA%E3%81%84%E3%81%A7;Verb［ない］+ で。;;;Standard;ないでください is a polite way to express 'please don't do (A)'. However, such politeness is often not required, like in conversations between close friends. In these cases, ないで by itself may be used for the same purpose. Although grammatically the same as the ないで with the meaning of 'without doing (A), (B)', rather having a part (A) and a part (B) to the sentence, this ないで acts more like a simple statement.;;妻（つま）が夫（おっと）に：「貯金（ちょきん）をしたいから、無駄（むだ）な物（もの）にお金（かね）を使（つか）わないで。」;Wife to her husband: 'I want to save up, so please don't use money recklessly.';;;ないで | ないでください;;
～てくれてありがとう;Thank you for ~ ing;N4;7;Let's Get Polite;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%8F%E3%82%8C%E3%81%A6%E3%81%82%E3%82%8A%E3%81%8C%E3%81%A8%E3%81%86;Verb［て］ + くれて + ありがとう | Verb［て］ + くれて + ありがとう + ございます;;;Standard;As an extension of てくれる, which expresses that something was done for the speaker, or someone within their immediate circle, てくれてありがとう thanks someone for that action.;This expression is usually reserved for actions that clearly benefit the speaker. It would not sound natural when thanking someone for something that they are expected to do as part of their job, or due to simple etiquette.;手伝（てつだ）ってくれてありがとうございました。;Thank you so much for helping (me).;;てすみません;てくれる | くれる;;
～て + くれない;Won't you?, Will you?, Could you?, Can you?, Would you?;N4;7;Let's Get Polite;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%8F%E3%82%8C%E3%81%AA%E3%81%84-%E3%81%A6%E3%82%82%E3%82%89%E3%81%88%E3%81%AA%E3%81%84;Verb［て］+ くれない (か) ？ | Verb［て］+ もらえない (か) ？ |  | Could you not | Verb［ないで］+ くれない (か) ？ | Verb［ないで］+ もらえない (か) ？ |  | Levels of politeness | Verb［て］+ くれません (か) ？ | Verb［て］+ もらえません (か) ？ |  | Could you not | Verb［ないで］+ くれません (か) ？ | Verb［ないで］+ もらえません (か) ？ |  | Levels of politeness;;;Standard;When used in the negative, てくれない (coming from てくれる), and てもらえない (coming from てもらえる, the potential form of てもらう), are similar to the negative question form of じゃないか. They express the following:;These expressions are used with a rising intonation | Despite the above list, てくれ may be considered a bit rude, and should be avoided in most situations.;私（わたし）に漢字（かんじ）を教（おし）えてくれない？;Would you not teach me kanji? (Would you please teach me kanji?);ていただけませんか;;;;
のだろうか;I wonder...;N4;7;Let's Get Polite;https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%A0%E3%82%8D%E3%81%86%E3%81%8B;Verb +（の(1)）+ だろうか | ［い］Adjective +（の(1)）+ だろうか | ［な］Adjective +（な + の(1)）+ だろうか | Noun +（な + の(1)）+ だろうか |  | (1) ん | Verb +（の(1)）+ でしょうか | ［い］Adjective +（の(1)）+ でしょうか | ［な］Adjective +（な + の(1)）+ でしょうか | Noun +（な + の(1)）+ でしょうか |  | (1) ん;;;Standard;When だろう (the conjugated auxiliary verb) is grouped with か (the question particle), it presents the statement before it as something that the speaker is unsure about. In this way, it sounds similar to 'I wonder if (A)' in English.;Versions without ん/の are also acceptable but sound old-fashioned | Although だろうか is quite masculine, it does not strictly mean that でしょうか is feminine. でしょうか may be used confidently by either women or men.;彼（かれ）の都合（つごう）が悪（わる）いだろうか。;I wonder if it is bad timing for him?;;;かな | かしら | じゃないか | はたして;;
お～になる;To do (Honorific);N4;7;Let's Get Polite;https://bunpro.jp/grammar_points/%E3%81%8A-%E3%81%AB%E3%81%AA%E3%82%8B;お + Verb［stem］+ になる | ご(1) + ［する］Verb + になる | いく・くる・いる ￫ おいでになる |  | (1) お, limited to ［する］Verbs like: 電話（でんわ）する、勉強（べんきょう）する、散歩（さんぽ）する | お + Verb［stem］+ になります | ご(1) + ［する］Verb + になります | いきます・きます・います ￫ おいでになります |  | (1) お, limited to ［する］Verbs like: 電話（でんわ）する、勉強（べんきょう）する、散歩（さんぽ）する;;;Polite;お～になる (or ご～になる) is an honorific language expression which is used to pay respect to the actions of the person that is being spoken to/another person (never the speaker). In this expression, になる is used in exactly the same way that する would be, except that it will be attached to the ます stem of the verb that it is referring to.;Remember not to use honorific language when speaking about yourself and your actions!;先生（せんせい）はお帰（かえ）りになりました。;The teacher has gone home.;;;いらっしゃる | なさる;Regular honorific pattern;
なさる;To do (Honorific);N4;7;Let's Get Polite;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%95%E3%82%8B;する ￫ なさる | 料理（りょうり）する ￫ 料理（りょうり）なさる | お + Verb［stem］+ なさる |  | Conjugations | Verb［る］ ￫ なさる | Verb［ない］ ￫ なさらない | Verb［た］ ￫ なさった | Verb［なかった］ ￫ なさらなかった | する ￫ なさいます | 料理（りょうり）する ￫ 料理（りょうり）なさいます | お + Verb［stem］+ なさいます |  | Conjugations | Verb［る］ ￫ なさいます | Verb［ない］ ￫ なさいません | Verb［た］ ￫ なさいました | Verb［なかった］ ￫ なさいませんでした |  | There are multiple levels of politeness for the て-form of なさる: | なさっています ￫ なさってらっしゃいます ￫ なさっていらっしゃいます and なさっておられます;;;Polite;なさる is an honorific language verb which acknowledges and respects the actions of another (never the speaker). Like お～になる, なさる has exactly the same meaning as する.;Remember not to use honorific language when speaking about yourself and your actions! | Although some Japanese speakers will use it, expressions like なさっていらっしゃる are considered double keigo (なさる is honorific language, and いらっしゃる is also honorific language), and are technically incorrect. However, なさる may be partnered with ます, which is simply polite speech.;週末（しゅうまつ）もお仕事（しごと）をなさるのですか。;Are you going to work over the weekend also?;;;なさい | お～になる  | いたす | する;Honorific verb;
お～ください;Please do (Honorific);N4;7;Let's Get Polite;https://bunpro.jp/grammar_points/%E3%81%8A-%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84;お + Verb［stem］+ ください;;;Polite;お～ください is an honorific language expression in Japanese which is used in a similar way to なさい. It is the imperative form of くださる, which itself is the honorific language equivalent of くれる. In this way, it conveys 'please do (A) for me'.;お気をつけください is quite commonly used and accepted. This comes from treating 気をつける as one expression. | ご～ください will only be used as part of the humble speech expression, ご～する (or お〜する). In these cases, it becomes ご～してください.;少（すこ）しお待（ま）ちください。;Please wait just a minute.;てください;ないでください;なさい | お～願う;;
いらっしゃる;To be (Honorific), To come (Honorific), To go (Honorific);N4;7;Let's Get Polite;https://bunpro.jp/grammar_points/%E3%81%84%E3%82%89%E3%81%A3%E3%81%97%E3%82%83%E3%82%8B;いる・くる・いく ￫ いらっしゃる | Verb［ている］ ￫ Verb［て］+ いらっしゃる |  | Conjugations | Verb［る］ ￫ いらっしゃる | Verb［ない］ ￫ いらっしゃらない | Verb［た］ ￫ いらっしゃった | Verb［なかった］ ￫ いらっしゃらなかった | います・きます・いきます ￫ いらっしゃいます | Verb［ている］ ￫ Verb［て］+ いらっしゃいます |  | Conjugations | Verb［る］ ￫ いらっしゃいます | Verb［ない］ ￫ いらっしゃいません | Verb［た］ ￫ いらっしゃいました | Verb［なかった］ ￫ いらっしゃいませんでした;;;Polite;いらっしゃる is another of the common honorific language expressions in Japanese. This means that it elevates the status of another person, in order to pay them respect. It will never be used when referring to the speaker themselves, or their own actions.;Remember not to use honorific language when speaking about yourself and your actions!;分（わ）からない人（ひと）はいらっしゃいますか。;Is there anyone who doesn't understand?;;;お～になる  | がいる | くる | へいく;;
御座（ござ）います;To be, To exist (Polite);N4;7;Let's Get Polite;https://bunpro.jp/grammar_points/%E3%81%94%E3%81%96%E3%81%84%E3%81%BE%E3%81%99;ある ￫ ござる | あります ￫ ございます;;;Polite;ございます is a combination of the (special-class) verb, ござる (御座（ござ）る in its kanji form), and the auxiliary verb ます. It is considered polite speech, and is directly equivalent to ある (or いる).;;おはよう御座（ござ）います。;Good morning. (Polite greeting);;;がある;;
で御座（ござ）います;To be, Polite copula;N4;7;Let's Get Polite;https://bunpro.jp/grammar_points/%E3%81%A7%E3%81%94%E3%81%96%E3%81%84%E3%81%BE%E3%81%99;だ ￫ でござる | です ￫ でございます;;;Polite;As mentioned briefly in the ございます lesson, でございます is a structure which can be used as a replacement for であります, the polite form of である (which itself is the formal equivalent of だ). Both です and でございます are considered polite speech. However, でございます is the more polite of the two. Let's take a look at a few examples.;;この方（かた）は田中（たなか）さんで御座（ござ）います。;This is Mr. Tanaka.;です | だ;;;;
お〜する;I humbly do, I am obliged to do, Humble speech;N4;7;Let's Get Polite;https://bunpro.jp/grammar_points/%E3%81%8A-%E3%81%99%E3%82%8B;お + Verb［stem］+ する | ご(1) + する［Verb］ + する |  | (1) お, limited to ［する］Verbs like: 電話（でんわ）する、勉強（べんきょう）する、散歩（さんぽ）する | お + Verb［stem］+ します | ご(1) + する［Verb］ + します |  | (1) お, limited to ［する］Verbs like: 電話（でんわ）する、勉強（べんきょう）する、散歩（さんぽ）する;;;Polite;お〜する comes from a form of polite speech in Japanese called humble speech. This type of speech is used to refer to the speaker and their actions. This is opposed to honorific language, which refers exclusively to the listener and their actions. お〜する is almost exactly the same as お～になる, as in it simply means する.;While the する in this structure will attach directly to the ます stem of verbs, this does not mean that verbs that are already する verbs will become しする. In the case of する verbs, simply change the prefix to ご. | In rare cases, お may be used instead of ご, when attached to words of Chinese origin. There is no specific rule for this, and they must be memorized on a case by case basis. | Thankfully, the words of Chinese origin that use お instead of ご are extremely common verbs. This means that you will be exposed to almost all of them very quickly. All others may be assumed to use ご.;ドアをお閉（し）めします。;I (will) humbly close the door.;;;いたす;;
